NRO_FACT,COD_PROD,DESC_PROD,CANTIDAD,FECHA_FACT,PRECIO_UNIT,COD_CLIENTE,DISTRITO
236142,BLMA1,MIEL DE AVEJA,3,1/01/2018,8,10248,JESUS MARIA
236143,BLG01,GRANOLA,1,1/01/2018,6,10064,SAN BORJA
236144,BLMC1,MATE DE COCA,1,1/01/2018,5,10107,MIRAFLORES
236145,BLMC1,MATE DE COCA,1,1/01/2018,5,10180,MIRAFLORES
236146,BLSI1,SACHA INCHI,12,1/01/2018,10,10064,CERCADO
236147,BLAL1,ACEITE LINAZA,36,1/01/2018,9,10162,JESUS MARIA
236148,BLMC1,MATE DE COCA,1,1/01/2018,5,10020,SAN MARTIN
236149,BLP01,PROPOLEO,2,1/01/2018,6,10069,CERCADO
236150,BLMC1,MATE DE COCA,12,1/01/2018,5,10128,BARRANCO
236151,BLBE1,BARRA ENERGETICA,1,1/01/2018,2,10037,JESUS MARIA
236152,BLSI1,SACHA INCHI,5,2/01/2018,10,10084,BREÑA
236153,BLKZ1,KEKE ZANAHORIA,1,2/01/2018,5,10013,LA MOLINA
236154,BLSV1,SNEAKER VEGANO,1,2/01/2018,4,10024,LOS OLIVOS
236155,BLS01,SABILA,1,2/01/2018,5,10014,JESUS MARIA
236156,BLKG1,KEKE GUINDON,36,2/01/2018,5,10014,LA MOLINA
236157,BLG01,GRANOLA,12,2/01/2018,6,10188,LA MOLINA
236158,BLMC1,MATE DE COCA,5,2/01/2018,5,10186,SURQUILLO
236159,BLSI1,SACHA INCHI,1,2/01/2018,10,10175,JESUS MARIA
236160,BLP01,PROPOLEO,2,2/01/2018,6,10009,CERCADO
236161,BLMF1,MIX FRUTOS,4,2/01/2018,3,10172,MIRAFLORES
236162,BLG01,GRANOLA,1,2/01/2018,6,10031,LA MOLINA
236163,BLKZ1,KEKE ZANAHORIA,12,2/01/2018,5,10092,JESUS MARIA
236164,BLSI1,SACHA INCHI,3,2/01/2018,10,10173,LA MOLINA
236165,BLP01,PROPOLEO,1,2/01/2018,6,10002,JESUS MARIA
236166,BLMF1,MIX FRUTOS,12,3/01/2018,3,10136,BARRANCO
236167,BLMC1,MATE DE COCA,2,3/01/2018,5,10128,JESUS MARIA
236168,BLAI1,ARROZ INTEGRAL,2,3/01/2018,6,10233,SAN LUIS
236169,BLSI1,SACHA INCHI,2,3/01/2018,10,10067,LOS OLIVOS
236170,BLG01,GRANOLA,12,3/01/2018,6,10239,JESUS MARIA
236171,BLCC1,CAMU CAMU,1,3/01/2018,10,10177,JESUS MARIA
236172,BLSI1,SACHA INCHI,2,3/01/2018,10,10125,LOS OLIVOS
236173,BLAI1,ARROZ INTEGRAL,4,3/01/2018,6,10217,MIRAFLORES
236174,BLP01,PROPOLEO,2,3/01/2018,6,10220,JESUS MARIA
236175,BLAL1,ACEITE LINAZA,14,3/01/2018,9,10216,JESUS MARIA
236176,BLSV1,SNEAKER VEGANO,3,4/01/2018,4,10000,SAN JUAN DE LURIGANCHO
236177,BLP01,PROPOLEO,1,4/01/2018,6,10194,BREÑA
236178,BLG01,GRANOLA,1,4/01/2018,6,10149,JESUS MARIA
236179,BLKZ1,KEKE ZANAHORIA,1,4/01/2018,5,10042,CERCADO
236180,BLMF1,MIX FRUTOS,12,4/01/2018,3,10063,SAN MIGUEL
236181,BLBE1,BARRA ENERGETICA,2,4/01/2018,2,10127,SAN BORJA
236182,BLG01,GRANOLA,24,4/01/2018,6,10237,JESUS MARIA
236183,BLAL1,ACEITE LINAZA,1,4/01/2018,9,10158,JESUS MARIA
236184,BLMF1,MIX FRUTOS,3,4/01/2018,3,10125,SAN ISIDRO
236185,BLBE1,BARRA ENERGETICA,12,4/01/2018,2,10032,JESUS MARIA
236186,BLMF1,MIX FRUTOS,1,4/01/2018,3,10020,JESUS MARIA
236187,BLMC1,MATE DE COCA,4,4/01/2018,5,10214,JESUS MARIA
236188,BLMA1,MIEL DE AVEJA,6,4/01/2018,8,10090,JESUS MARIA
236189,BLSV1,SNEAKER VEGANO,1,5/01/2018,4,10238,SAN BORJA
236190,BLMA1,MIEL DE AVEJA,1,5/01/2018,8,10012,JESUS MARIA
236191,BLG01,GRANOLA,24,5/01/2018,6,10061,JESUS MARIA
236192,BLAL1,ACEITE LINAZA,1,5/01/2018,9,10027,JESUS MARIA
236193,BLG01,GRANOLA,12,5/01/2018,6,10047,SAN BORJA
236194,BLC01,QUINUA,2,5/01/2018,6,10173,JESUS MARIA
236195,BLAL1,ACEITE LINAZA,72,5/01/2018,9,10165,JESUS MARIA
236196,BLSI1,SACHA INCHI,6,5/01/2018,10,10003,JESUS MARIA
236197,BLSI1,SACHA INCHI,10,5/01/2018,10,10239,JESUS MARIA
236198,BLMC1,MATE DE COCA,1,5/01/2018,5,10183,SAN MIGUEL
236199,BLSI1,SACHA INCHI,3,5/01/2018,10,10177,CERCADO
236200,BLSI1,SACHA INCHI,6,5/01/2018,10,10143,CERCADO
236201,BLG01,GRANOLA,12,5/01/2018,6,10180,JESUS MARIA
236202,BLP01,PROPOLEO,10,5/01/2018,6,10100,JESUS MARIA
236203,BLSI1,SACHA INCHI,24,6/01/2018,10,10171,JESUS MARIA
236204,BLCC1,CAMU CAMU,2,6/01/2018,10,10060,PUEBLO LIBRE
236205,BLSI1,SACHA INCHI,4,6/01/2018,10,10177,LOS OLIVOS
236206,BLG01,GRANOLA,2,6/01/2018,6,10212,BREÑA
236207,BLSV1,SNEAKER VEGANO,1,6/01/2018,4,10221,JESUS MARIA
236208,BLSI1,SACHA INCHI,1,6/01/2018,10,10198,JESUS MARIA
236209,BLMF1,MIX FRUTOS,1,6/01/2018,3,10245,SAN ISIDRO
236210,BLAL1,ACEITE LINAZA,1,6/01/2018,9,10093,LA MOLINA
236211,BLAL1,ACEITE LINAZA,3,6/01/2018,9,10204,SAN BORJA
236212,BLMF1,MIX FRUTOS,2,6/01/2018,3,10180,JESUS MARIA
236213,BLAI1,ARROZ INTEGRAL,1,6/01/2018,6,10193,LA MOLINA
236214,BLSV1,SNEAKER VEGANO,1,6/01/2018,4,10073,JESUS MARIA
236215,BLAL1,ACEITE LINAZA,4,6/01/2018,9,10004,JESUS MARIA
236216,BLAI1,ARROZ INTEGRAL,3,6/01/2018,6,10222,SURCO
236217,BLP01,PROPOLEO,1,6/01/2018,6,10149,SAN BORJA
236218,BLMA1,MIEL DE AVEJA,8,6/01/2018,8,10223,JESUS MARIA
236219,BLP01,PROPOLEO,6,7/01/2018,6,10021,JESUS MARIA
236220,BLAI1,ARROZ INTEGRAL,1,7/01/2018,6,10143,LA MOLINA
236221,BLC01,QUINUA,1,7/01/2018,6,10063,JESUS MARIA
236222,BLKG1,KEKE GUINDON,4,7/01/2018,5,10032,SAN BORJA
236223,BLP01,PROPOLEO,1,7/01/2018,6,10214,JESUS MARIA
236224,BLSI1,SACHA INCHI,3,7/01/2018,10,10219,JESUS MARIA
236225,BLSI1,SACHA INCHI,5,7/01/2018,10,10164,JESUS MARIA
236226,BLC01,CACAO,12,8/01/2018,5,10204,LINCE
236227,BLSV1,SNEAKER VEGANO,2,8/01/2018,4,10055,JESUS MARIA
236228,BLP01,PROPOLEO,2,8/01/2018,6,10064,SAN BORJA
236229,BLP01,PROPOLEO,1,8/01/2018,6,10134,JESUS MARIA
236230,BLSI1,SACHA INCHI,24,8/01/2018,10,10122,JESUS MARIA
236231,BLSI1,SACHA INCHI,1,8/01/2018,10,10092,LOS OLIVOS
236232,BLMA1,MIEL DE AVEJA,3,8/01/2018,8,10096,BARRANCO
236233,BLG01,GRANOLA,1,8/01/2018,6,10229,SAN BORJA
236234,BLP01,PROPOLEO,8,9/01/2018,6,10006,PUEBLO LIBRE
236235,BLG01,GRANOLA,1,9/01/2018,6,10048,CERCADO
236236,BLMC1,MATE DE COCA,3,9/01/2018,5,10236,COMAS
236237,BLOJ1,OJUELAS,12,9/01/2018,3,10074,JESUS MARIA
236238,BLP01,PROPOLEO,6,9/01/2018,6,10233,JESUS MARIA
236239,BLP01,PROPOLEO,3,9/01/2018,6,10168,SAN BORJA
236240,BLSI1,SACHA INCHI,1,9/01/2018,10,10238,SAN BORJA
236241,BLAI1,ARROZ INTEGRAL,12,9/01/2018,6,10021,SAN BORJA
236242,BLAL1,ACEITE LINAZA,1,9/01/2018,9,10079,JESUS MARIA
236243,BLP01,PROPOLEO,1,9/01/2018,6,10026,JESUS MARIA
